amount,location,time,transactions,is_fraud
64328,Bangalore,03:11,11,1
37280,Mumbai,17:12,5,0
10522,Hyderabad,00:54,9,1
53601,Bangalore,06:58,1,0
62379,Mumbai,11:25,4,0
38641,Mumbai,14:32,9,1
48192,Bangalore,00:42,4,1
22237,Bangalore,04:28,3,0
19662,Chennai,11:02,4,0
30875,Hyderabad,08:23,4,1
27602,Bangalore,11:24,8,0
6586,Hyderabad,20:20,2,0
68837,Delhi,23:16,10,1
23286,Chennai,20:24,6,0
10702,Bangalore,08:24,4,0
46755,Delhi,15:50,8,1
1364,Bangalore,04:28,3,0
67941,Delhi,06:09,3,0
16009,Mumbai,13:51,6,0
63613,Chennai,15:13,10,1
54357,Hyderabad,07:02,3,0
21619,Mumbai,20:32,1,0
19749,Hyderabad,05:16,3,0
53643,Bangalore,18:40,1,0
37652,Hyderabad,06:28,10,0
63633,Mumbai,07:53,7,1
24339,Bangalore,21:32,5,0
45414,Chennai,19:37,2,0
51023,Mumbai,03:01,4,1
66607,Chennai,04:38,2,1
5616,Bangalore,16:48,2,1
17582,Bangalore,17:52,1,0
57057,Bangalore,13:23,1,0
56724,Mumbai,15:50,7,1
13307,Chennai,04:16,8,1
11486,Delhi,19:56,9,0
25275,Hyderabad,22:47,1,0
15944,Bangalore,00:24,11,1
41905,Chennai,11:06,3,0
33744,Delhi,17:27,10,0
36618,Chennai,06:26,9,0
63738,Mumbai,11:35,9,1
40693,Bangalore,11:49,12,1
18596,Hyderabad,23:14,8,0
21706,Hyderabad,06:32,7,0
7322,Mumbai,12:40,1,0
19548,Chennai,19:27,2,1
29567,Delhi,02:38,1,0
53013,Bangalore,20:33,5,0
8031,Mumbai,20:31,8,1
68415,Delhi,06:02,10,1
30865,Bangalore,05:43,1,0
537,Mumbai,02:17,7,1
52292,Chennai,18:12,9,0
9493,Hyderabad,17:18,12,0
46125,Delhi,08:14,10,1
60106,Chennai,18:00,5,0
66853,Hyderabad,17:04,9,1
15836,Bangalore,08:56,9,0
33286,Chennai,12:36,8,0
45020,Chennai,21:29,10,1
63672,Hyderabad,08:04,7,1
29385,Mumbai,10:26,6,0
1774,Delhi,07:18,2,0
45325,Hyderabad,17:59,3,0
46838,Mumbai,18:17,3,0
25425,Chennai,23:12,4,0
35287,Mumbai,07:12,4,0
47165,Mumbai,03:07,2,1
65074,Bangalore,00:48,9,1
63714,Delhi,19:20,8,1
36509,Chennai,05:48,9,0
29610,Bangalore,04:03,9,1
63194,Bangalore,01:32,6,1
23411,Chennai,03:44,9,1
1603,Hyderabad,21:13,7,0
43155,Delhi,19:55,5,0
34952,Mumbai,08:30,10,0
24605,Chennai,13:13,7,0
49299,Delhi,12:17,8,1
17688,Bangalore,21:14,2,0
31407,Bangalore,13:54,7,0
20101,Chennai,00:11,7,1
68265,Bangalore,23:20,8,1
6753,Chennai,03:44,3,1
33830,Chennai,20:06,8,0
34548,Delhi,11:35,9,0
34279,Delhi,00:26,2,0
26577,Bangalore,18:41,11,0
37804,Delhi,10:43,9,0
59080,Hyderabad,12:39,5,0
19485,Mumbai,20:51,6,0
53554,Hyderabad,02:10,6,1
42033,Delhi,22:17,10,1
36053,Chennai,11:47,10,0
59520,Chennai,05:11,1,0
31253,Delhi,23:44,12,1
22377,Chennai,03:06,2,0
62521,Bangalore,01:01,7,1
11411,Hyderabad,08:39,3,1
51597,Delhi,07:15,12,1
17069,Mumbai,16:53,3,1
47271,Delhi,15:29,9,1
58806,Mumbai,22:34,3,0
60340,Bangalore,13:33,11,1
41087,Delhi,15:34,4,0
58415,Delhi,11:26,5,0
1883,Hyderabad,16:52,3,0
61998,Bangalore,00:44,8,1
63030,Delhi,00:49,7,1
30805,Hyderabad,17:23,4,0
57792,Chennai,07:10,12,1
51581,Chennai,07:16,2,0
31899,Bangalore,19:51,12,0
37813,Bangalore,08:26,4,0
24408,Mumbai,09:07,11,0
59845,Delhi,22:39,8,1
3042,Mumbai,01:34,1,0
13905,Delhi,08:08,12,0
1575,Mumbai,02:09,1,0
45315,Chennai,09:50,8,1
61276,Hyderabad,10:05,3,1
51935,Hyderabad,17:30,3,0
33278,Chennai,00:07,12,1
58559,Mumbai,23:02,4,0
12815,Bangalore,21:13,8,0
41408,Delhi,05:40,12,0
68778,Hyderabad,08:30,11,1
47741,Hyderabad,21:13,2,0
57406,Delhi,00:10,5,1
52379,Mumbai,00:02,10,1
62794,Bangalore,04:23,2,1
66025,Hyderabad,21:39,6,0
8371,Hyderabad,11:41,3,0
14576,Mumbai,15:14,6,0
46023,Chennai,23:12,1,0
47445,Mumbai,08:57,1,0
57844,Bangalore,09:34,12,1
24961,Bangalore,11:20,12,0
21516,Hyderabad,16:09,8,0
35017,Bangalore,11:29,1,0
66816,Chennai,23:11,1,0
48220,Bangalore,07:20,12,0
51289,Mumbai,16:43,8,1
20702,Bangalore,09:20,7,0
14978,Hyderabad,16:42,2,1
17509,Mumbai,01:12,2,0
13443,Hyderabad,18:41,7,0
69420,Bangalore,22:37,5,1
29430,Bangalore,22:04,1,0
27859,Chennai,02:29,11,0
55019,Delhi,22:03,10,1
5828,Hyderabad,09:04,4,0
13229,Hyderabad,23:14,9,0
25812,Bangalore,21:15,10,0
23948,Bangalore,23:35,7,0
47418,Chennai,22:42,7,1
22364,Mumbai,17:25,9,0
21232,Bangalore,19:28,6,0
43053,Delhi,13:48,11,1
42895,Bangalore,07:36,9,1
33803,Delhi,14:28,7,1
5043,Delhi,19:01,9,0
40062,Hyderabad,09:14,4,0
3344,Delhi,17:32,9,0
20778,Hyderabad,01:29,6,0
35232,Delhi,18:15,4,0
